id,actress,winning status
0,Jodie Foster,Yes
1,Glenn Close,No
2,Melanie Griffith,No
3,Meryl Streep,No
4,Sigourney Weaver,No
5,Jessica Tandy,Yes
6,Isabelle Adjani,No
7,Pauline Collins,No
8,Jessica Lange,No
9,Michelle Pfeiffer,No
10,Kathy Bates,Yes
11,Anjelica Huston,No
12,Julia Roberts,No
13,Meryl Streep,No
14,Joanne Woodward,No
15,Jodie Foster,Yes
16,Geena Davis,No
17,Laura Dern,No
18,Bette Midler,No
19,Susan Sarandon,No
20,Emma Thompson,Yes
21,Catherine Deneuve,No
22,Mary McDonnell,No
23,Michelle Pfeiffer,No
24,Susan Sarandon,No
25,Holly Hunter,Yes
26,Angela Bassett,No
27,Stockard Channing,No
28,Emma Thompson,No
29,Debra Winger,No
30,Jessica Lange,Yes
31,Jodie Foster,No
32,Miranda Richardson,No
33,Winona Ryder,No
34,Susan Sarandon,No
35,Susan Sarandon,Yes
36,Elisabeth Shue,No
37,Sharon Stone,No
38,Meryl Streep,No
39,Emma Thompson,No
40,Frances McDormand,Yes
41,Brenda Blethyn,No
42,Diane Keaton,No
43,Kristin Scott Thomas,No
44,Emily Watson,No
45,Helen Hunt,Yes
46,Helena Bonham Carter,No
47,Julie Christie,No
48,Judi Dench,No
49,Kate Winslet,No
50,Gwyneth Paltrow,Yes
51,Cate Blanchett,No
52,Fernanda Montenegro,No
53,Meryl Streep,No
54,Emily Watson,No
55,Hilary Swank,Yes
56,Annette Bening,No
57,Janet McTeer,No
58,Julianne Moore,No
59,Meryl Streep,No
60,Julia Roberts,Yes
61,Joan Allen,No
62,Juliette Binoche,No
63,Ellen Burstyn,No
64,Laura Linney,No
65,Halle Berry,Yes
66,Judi Dench,No
67,Nicole Kidman,No
68,Sissy Spacek,No
69,Renée Zellweger,No
70,Nicole Kidman,Yes
71,Salma Hayek,No
72,Diane Lane,No
73,Julianne Moore,No
74,Renée Zellweger,No
75,Charlize Theron,Yes
76,Keisha Castle-Hughes,No
77,Diane Keaton,No
78,Samantha Morton,No
79,Naomi Watts,No
80,Hilary Swank,Yes
81,Annette Bening,No
82,Catalina Sandino Moreno,No
83,Imelda Staunton,No
84,Kate Winslet,No
85,Reese Witherspoon,Yes
86,Judi Dench,No
87,Felicity Huffman,No
88,Keira Knightley,No
89,Charlize Theron,No
90,Helen Mirren,Yes
91,Penélope Cruz,No
92,Judi Dench,No
93,Meryl Streep,No
94,Kate Winslet,No
95,Marion Cotillard,Yes
96,Cate Blanchett,No
97,Julie Christie,No
98,Laura Linney,No
99,Ellen Page,No
100,Kate Winslet,Yes
101,Anne Hathaway,No
102,Angelina Jolie,No
103,Melissa Leo,No
104,Meryl Streep,No
105,Sandra Bullock,Yes
106,Helen Mirren,No
107,Carey Mulligan,No
108,Gabourey Sidibe,No
109,Meryl Streep,No
110,Natalie Portman,Yes
111,Annette Bening,No
112,Nicole Kidman,No
113,Jennifer Lawrence,No
114,Michelle Williams,No
115,Meryl Streep,Yes
116,Glenn Close,No
117,Viola Davis,No
118,Rooney Mara,No
119,Michelle Williams,No
120,Jennifer Lawrence,Yes
121,Jessica Chastain,No
122,Emmanuelle Riva,No
123,Quvenzhané Wallis,No
124,Naomi Watts,No
125,Cate Blanchett,Yes
126,Amy Adams,No
127,Sandra Bullock,No
128,Judi Dench,No
129,Meryl Streep,No
130,Julianne Moore,Yes
131,Marion Cotillard,No
132,Felicity Jones,No
133,Rosamund Pike,No
134,Reese Witherspoon,No
135,Brie Larson,Yes
136,Cate Blanchett,No
137,Jennifer Lawrence,No
138,Charlotte Rampling,No
139,Saoirse Ronan,No
140,Emma Stone,Yes
141,Isabelle Huppert,No
142,Ruth Negga,No
143,Natalie Portman,No
144,Meryl Streep,No
145,Frances McDormand,Yes
146,Sally Hawkins,No
147,Margot Robbie,No
148,Saoirse Ronan,No
149,Meryl Streep,No
150,Olivia Colman,Yes
151,Yalitza Aparicio,No
152,Glenn Close,No
153,Lady Gaga,No
154,Melissa McCarthy,No
